id,phone_sequence
fadg0_si1279,hIwLAJaIrwDnaBLMrDwLMwQ
fadg0_si1909,tbLKwnFrPFwLuwDBPwJLIwnBULhwLDyUNlwKr
fadg0_si649,wLJncnQtrUJtrCcBgbLcwQvTyDwLMywQLHrLlwJwDrJLMbnLMtrQrInFBwLABymrKnLH
fadg0_sx109,KyJBwLzMwDJLHIgyEDEuarIrwELAFBFaDcJLMyLHJBFLH
fadg0_sx19,cBPCwDncDCDLJFQSrLAwDatwDLhytBcwnDLUyDE
fadg0_sx199,TbcbDLiKwFBLkIrDKOwmcQGLmkwLAJLHcgFKrLMwLAwDLMsLzwUJULMwUyUwUJ
fadg0_sx289,SnLlrLHIyLJLAcBaLKwUrQrwrwTPJLtBnwnDJybmB
fadg0_sx379,vbDLuwDLJLMIagmyEBgnJwDUaDLlrJULMksUJUJ
faks0_si1573,wvwULAeLMcDCFJLNMwDCcDwvbLurLkcDwULhyTPmwtBLhFLMJLSrSaIDwDKbLhy
faks0_si2203,lwQIyUwDwUJtrwlLlwJLMgwLQJyCELMkNtPBwKDeFgB
faks0_si943,HIwLkcLAKwDwDBsystaBtaILhcBFBSnLAJLHwLMsKwDU
faks0_sx133,vyLJnrIywFQUaIrLAwDyETwDLtrLASwLABcDLziK
faks0_sx223,HBOLlcLhBOcOLirLhBaLMsLhBGwDcLurIawK
faks0_sx313,kIaLMtagLJtaIDUwDcLhaLAJLlHcBtaImyLuFBe
faks0_sx403,vrSaILuIFLuADJnwJcQFCBSyJLArarIrLMJwDLhBgegeBLJwcwJ
faks0_sx43,nBlBrByLHyLHBarIatwDwLAJLABPLkwLk
fcal1_si1403,wScSsUlbwDLkwLlwLHsKwDJgLAwLABLhBSGgDwJLCbDcwtbwnJwLJnBLt
fcal1_si2033,hOLhywLABaJBKsEDLkwNrFBSBswJLMaGIGwBgLlwnwJ
fcal1_si773,BnmnaFBLHIaLznLAJLMIgJBcByLtIrJnQIBLksbsU
fcal1_sx143,lwJbDLkwLzwDwrtrULhkyLmBJLAwyrLlwDvwDBF
fcal1_sx233,vgSsbwDtIyBSsCyDlwJsDLlwbsED
fcal1_sx323,lwtaLHrQnwDwLknDLtIrCrIgQwEDacaDLMgCD
fcal1_sx413,ubnbnJtJLtDyJLSymwKJLDsymcLHGDLJLAaItLCbLiKLMzMzIrJLArLM
fcal1_sx53,wkyPCDwDwUwLhHBcwLAbLhTwBwnrIyLAwDLMsDJnwCLhBU
fcmh0_si1454,cIwLzPcBsysysyLlwCsDLMagLiKTPULkLSrQnIywJLAcaCLHwUwsKwDUcQLQhaBynJLMrJ
fcmh0_si2084,ScgmwLhbmwLMyQCIswCDLlknC
fcmh0_si824,JnCQFBQtQtrCUcCsLzwDLkgUwEwDUgwDLhHInLHrsKwDLUMIPQtNtyLCbDwtbLKiKrwU
fcmh0_sx104,vyJLMwFBwLkgCQhrCcLhsLur
fcmh0_sx14,hytaILNlNlwrIrwULkwsUwLuJbCLIyQtTPnIQIytaIDCTywcBc
fcmh0_sx194,hlswDLzGmGwcSwnDIgaLukwKwD
fcmh0_sx284,zntLNMNaeLmTPaILuTPLkwDLQsQrclwJnDLzwtTPLzLHIrLziwJ
fcmh0_sx374,zaDELAByDULwKFBtwKtaIwBwmwE
fdac1_si1474,vbJLAyTybacDCDbDwvyJbLhBwNLCaLkwJLMIsJLJ
fdac1_si2104,vevtegavytaLsLhBgbwJKLkwcQcPGaBaGJyLbLcBgJLM
fdac1_si844,tlcawJLMbLDCwLAaFaBFcDQtwKwDUsyswUwULiysCQLkLbLklywLAJLHbDLMJcCQbLiKIPSPaBsLAJLHwneIwDLMJ
fdac1_sx124,aLzwLJLCsmwcLHTyPwmwrararILhTPcmctaB
fdac1_sx214,lcCamwELuPBFacDlwJLHgbwLmwcSbnLuBnJwnCDLkwLwDlwJagDU
fdac1_sx304,KiKyLJLMagawLMyEwULCIaDlcQtrgnJLMgwDCLlbBCacD
fdac1_sx34,keDLkPLibgbgByJKLMkzrnIsmyLkwKwU
fdac1_sx394,AeBJywCsLiJLDhFDUJUJwDLMyJtJLMIaDLU
fdms0_si1218,HnBcLJDCaIncFBQNrLzkcPScBgvywDCDwDLHbsKDU
fdms0_si1502,wCQwUDwvDwLUaLAByLHbDswLkDvswsLsksLSsLMyPLhwLkhsLAwLDeaLzwJwLAunr
fdms0_si1848,SyLAwDLkgLizMzyPTPLQuIywULAwELukgBgLAIwBLHyLHB
fdms0_sx138,lwLASBcwDUwLAnJLDCrJLHwBJUJwDwLAJLHnDJwtQLHIrIvtTwPCDP
fdms0_sx228,lwvTywLHGLkDAFQrwBlBcLNLMNyswKwD
fdms0_sx318,HByJLkwLCgaLwLMsbmbwcUcLhytaItIaJLM
fdms0_sx408,gLkIrIgLlwJcLhSgsLlnvrvbQwDLkMwDctQLisDz
fdms0_sx48,uIFwDclreLuAIPQvrInbLHIwyDyEwEDLvnDwLAnbLMJ
fdrw0_si1283,lwQmwEwDwKwnBLMwLlwCQCsmTPcBbLMwPCymyctaBeLlwLAsDUQCIbLHlcLBynLMJtaIJLM
fdrw0_si1423,lLhbebebeLkLkaDvyLugambacLMwLhBF
fdrw0_si653,KwByLmwJwUwCIyaeagegcwmySyaBSwLDagBwLz
fdrw0_sx113,wnsDCbcJLAwPBcvbebeLkwcCPwDLwULuOLktIysTwLhbtLA
fdrw0_sx203,lwLABagaUSBsybnbDLkwLmcLhIcLHBysyLbLlwKwFac
fdrw0_sx23,kFUCyUwKwDUvaCwDgwUDCaQlcBwJBy
fdrw0_sx293,HAByJLMsLkwULkrmyLAsLhcLABaLMwLmkmwLAByDwULtwnCy
fdrw0_sx383,lwLAaLHwLAByDwKbCLHPmaIwyvnDFBIacLk
fedw0_si1084,lcFLhlhksyEDECDLCsLhyLhctaDCsKwcDcLDAaICQsKsLtFCLSwywyLiLAMaecLhwKsLMJlyQaBaBt
fedw0_si1653,vyJLhaBLuAJFlwDBy
fedw0_si1714,vTwyrwJLSIcBcBaLSOnwmDaCFcByJKLMubnbLHhbywCD
fedw0_sx184,lsLAbLUJCByTaBLBaBSsysUvrIryLMJLCgLwTrU
fedw0_sx274,ABbtSBcwJPQLhaLkwcBQBlcLzKwrIwnJLDcJaLz
fedw0_sx364,yLzcDLMbgeCBsywEDLAaCBatJLABaFGBwDJgmwLSOLlwLhIsLkbDLucQCsyLUvyLmywELuJUJwJLMwCLHaFGaLkM
fedw0_sx4,zsDCsgsnbwDCFaCgDwyLheSarLAwDvaIwLk
fedw0_sx94,TaDEJLMIrwJBbecQLAaCcDLAbDLkywswKLMIyLJ
fgjd0_si1179,SaLKncncLlyUwUtnLAJLhy
fgjd0_si549,lyUJLHIFLuIrwDULwCDLMwJgULlywLAJnLkwPrDUJwnQLhgIsKBLABbJLrCULHMywDLJLBy
fgjd0_si818,lFDUJwEDBLAaILABwLzLMIwnDUJLCwLMSaIBywDLMwCDLMwPLIrwtBnLlnwnwncaLiwJaIDwLAJwLDnBJ
fgjd0_sx189,kwJLMIGLynIytIgaBIwBsmwLMwPCIrwDaeaDmLmkwnLJ
fgjd0_sx279,bBtJwUwQLhwFBFcLMyLzSrLASwLMbBJwLHrQswKwDwUDFLarwLly
fgjd0_sx369,haLHsLHrLmFQCwlcBwmwyEDErPClDwrBU
fgjd0_sx9,vSgnaSrwyTPvSaSySrcSs
fgjd0_sx99,CwLkyChBFJwJgwLmySwULhsDJLMrcrCvgraILAyUJUJUJ
fjem0_si1264,klwbwDLJwUaBLMwCDsLkLSwNtacFELuarIrJLHFLAwDwQrJBwCwPQUJ
fjem0_si1894,CgtaBlnrIwywDTwCBaLQtQvwJwLANlywUlwLuF
fjem0_si634,vynrDwyTwULASgsLHtIrJLSBsUNwQByLlLlwQnIywCLhgmwCnDmwCDywDnwtJwDJBgwDwJ
fjem0_sx184,lwLAvbLMLJLCyeaeGsJvrLJULCgyTPrU
fjem0_sx274,ABbntBwJwPwNLhgLlwBwLAKwnrywJLDcJtgUJUJ
fjem0_sx364,yLzcCDLMvgCByEDLAIcCBSaJLAFwDJgmwLSwUNlwLhHIsLukugegDwmwyvymwEUJwJLMkwcCLHvagr
fjem0_sx4,zsyDCsLsLwrwDCaICgDyLhgFSrLAwPDcCvagar
fjem0_sx94,TcEJLMrUtBcFQLAaCwDLMAbDLkhywcwUJULMiIyLJ
fjmg0_si1181,HIaLHrwrwByPULkwLHInUJwDLhcFLkwnwUwDbnLAJGBwLwDULMwCwDwbnbCwDBagDCnLD
fjmg0_si1811,HIsbBbUKUwDBsyvwULSamrLhInmwrJnLhIbnbJLMcJBwyE
fjmg0_si551,wUwCnebLlwnrIwnbmlQcDeaLMwJLMysyLivgaBLkwnwLtJaBLMkMA
fjmg0_sx101,AwDkuPrQaILDUJKynFaLukuwbwDLkFcLAIrIrsLluwnrILABbJIrwCJtraBvaBacwLksLJU
fjmg0_sx11,vySnBcBgeaeaLarcrInIwBagC
fjmg0_sx191,SwJLuIaBteDybLAywJsKwDUJUwnLcSgDLMJ
fjmg0_sx281,ASaGIwyDLMIwyswsKzKLHBbsLMbLuSwUtULhyLizLhaBULtrgegrJM
fjmg0_sx371,IgagLDEyveaeICbsDaLhyLlwLhnJLAeaCDLtrLhwUJLDwnwJLCgLzrJM
fjsj0_si1484,lnrIaUFacDwJLMJyLArUbtLMrLMIysyLUJUJ
fjsj0_si2114,JLMwsnsLCwyLKLUnLDcCBOnLCbybnbLlFULkgU
fjsj0_si854,wDLHMrwLzwCDLMwnbnbLKJKPwUgULlnIQLQhnwDwtwnLMJ
fjsj0_sx134,uwUJwQLQhrwLzbnDTwrwmwrDgULCcDLJUJLMwULHhwnDLkwDCgbwDy
fjsj0_sx224,vHtgLunDzTrwLkzrnDLMJMwJ
fjsj0_sx314,vTwUJLMyLCBcBFSLSrCGaILznDrcwUlnwISwLhyDnFnFwDyLtaISnBNwr
fjsj0_sx404,haILhrLHsLHIrwDByQUwmDwQLhwLhgagDQBgr
fjsj0_sx44,lklbULcLhaLAcLCLhywDwmwrLMsDswyELuJLHaILAD
fkms0_si1490,HvBnLHJwcLScnUIgFLMLHvbnLHMJwLScwUJULzcJLM
fkms0_si2120,vyLHBagwULkMLlhwnDwbmwLkLnQIrwyNwnwsEDacFgKwLHLwUcSnLHcwD
fkms0_si860,lwPwUwDELJMtBFPOLkLByQJwQbLUFDUwUJLwcBcwJwUwnDBbnbnBLtJ
fkms0_sx140,bnLurLABLMiIBLHIawLAJaILAcDyQwDByLkwULMOwLhwmw
