id,phone_sequence
fadg0_si1279,hIwLAJaIwDnBLMrDwLMwQ
fadg0_si1909,tbLKsFPFLuwDBPJLIFBJULHwLDyTytlNwKr
fadg0_si649,wLJcQrUtrCcBbgLAcQvTywDwLMywQLHrLHwJnDrJLHbLMtrvrInBwLAByrKwnwnLH
fadg0_sx109,KyJBnLMwDJLHIwEvrbwELABaDcJLMyLHJBFLH
fadg0_sx19,cBPCwDcCJFQrSnrLAwDaBtwDLhytBcDUwy
fadg0_sx199,TcDELiwFBLkIrwDKwmcQGywmkwLAJLHFKrLMPLAwDLMsLziwJLMkwUyUcUJ
fadg0_sx289,SnlrLHIytLAcBaKwUrQwIwyTyPJtcBFcDJybmB
fadg0_sx379,HbDLuwDLJLMIgLmwyEScUDUaDLlrJLMsU
faks0_si1573,vwUJLAbLMcCDScJLNlwDcDvbLurLkwDwUJLhTPmwtBLhFPLMJLSrSaIDwDKbLhy
faks0_si2203,lwrIyUcDCDwUJtrlwJLMgLQJyELuAtPBwKDFe
faks0_si943,HIrwLkcLAKDCsytaBtaILhcBFBcLAJLHwLMsKwDU
faks0_sx133,HhyLJrIywUaILAwDLChyDTwDLtrLASwLABcDLAK
faks0_sx223,HOLlcLhBcOLirLhaILMsLhBwDCcLuraK
faks0_sx313,kuIaLHtgLtaIDCUcDlcLhaLAJLHBctaImyLucBe
faks0_sx403,vrSarILkIFLADCJwnJcQFDvSyJLAarLMJcCSLhBgeLJcJ
faks0_sx43,nBLBrByLHyLHBaIaDtcDwLAJLABPLmkmwLk
fcal1_si1403,wcSBcBSsUlbDLkwlwcLHsKwDLJgLAcwLABLhBgDwJLCbDctwJLMwLJnBt
fcal1_si2033,hSOLhwLABaeJBKsDLkwNrIrcFBSBswJLMaIwBgLlwnwnJ
fcal1_si773,BnmaBLHIaLznLAJLMIgJBaBytrJnQIrBLksU
fcal1_sx143,lwcwJbDLkwLzwDwtrULhTyLuBJLAwrlnbnwDcBF
fcal1_sx233,vgSswDtIySsCyDlDwJsCDLNwnwE
fcal1_sx323,lwtaLHrQwDwLlnDCLtrCrIgQwEaDLMgC
fcal1_sx413,kbtDyJLSymwJLDyLmcLHGDLJLuAuaItLCbLiLMirJLArLM
fcal1_sx53,yCwDwUJwLHBQcLAbLhTwBwrIyLAwDLMsDJwnCLhBU
fcmh0_si1454,cIwLzPBcByLlcCsDLMgLiKTPULMkSrQnIywJLAcCLHwUwKwDUcQLHaBynJLMrU
fcmh0_si2084,ScmcLhemwLMyIwClnC
fcmh0_si824,JnQBtrCUrCrLiwDLkgUwEvnwDUgDLHInLHrsKwDLNIPtyLCnbDTwtbLKiKirwU
fcmh0_sx104,vyJLMFBwcwLkgCDLhrCcLQhsLur
fcmh0_sx14,hytaINrJLkwyUwLuUbCLIyQTPnIQIytaICycBc
fcmh0_sx194,lsvwDLzGwSwDgaILkwKwD
fcmh0_sx284,zctLNkhaTPaILuTPLkwDtsLhrcLQlwJwDLMrtTPLzLHrLiwJ
fcmh0_sx374,zaDLAByDULKnBtwKtaIBwQmwE
fdac1_si1474,vbJLAyTcDECbDvwvyUJbLhSBwNLCaLkwJLMsJLJ
fdac1_si2104,agaegvgavyNaLsLhBaKLkwcQacJyLbLBgbJLM
fdac1_si844,tcFJLMbnLDCcLAFBcQtwKwDUywUwLiyQLbLlywLAJLHnbDLHJcQbLiPBsLAJLHnIywDLMJ
fdac1_sx124,aLzwLAJLCsmcQLHTPBmrLhTPBmcQtB
fdac1_sx214,lcCaDwELukuwPBaDlcwJLHgwLmkwcSbnLuSBOJwDLkwLwClwJacD
fdac1_sx304,KyLHJLMaLAyEULIaDctrJLMgCDlnISacD
fdac1_sx34,keDLkPLibgByJLMrnIswmyLkwKwJ
fdac1_sx394,AbBJywcCsLAJLhFDUJwDLMytJLMIaD
fdms0_si1218,HcBwLJLDCaIFQrLkMPwcBcvyCwDLHbKDU
fdms0_si1502,vwySwUDgmgwLUbLAByLHbDwLAvsLAstLSBsgLMyLhwcLHsLAwLDaLzwJwLHAnrI
fdms0_si1848,SyLAwDLkgLiPTPLISIyLAwELugBgLuIwBLHyLHB
fdms0_sx138,lwLAScwDUwLAnJLCrJLHwnBUJcwDwLAJLHnDJwQLHrtTyTwPCD
fdms0_sx228,lwcvyPLHGDLkLFQIrBcOLlyncKD
fdms0_sx318,HByJLMwLDacLAwcLMsmcUcLhytaItIaJLM
fdms0_sx408,gLkIgLlwJcLhSGLlcvcvbQwDLkwDctLisDLz
fdms0_sx48,uIbDclreLuIPQvrcLHIwDEywDLhHnDywLAnbLMJ
fdrw0_si1283,lwQwEwDwKnBLlNlwlwQsmyFBbLMwPQvIwmyctaBebLlwLAsULQIbLHcLBynLtaIJLM
fdrw0_si1423,heLkaEvyLhuamcLMwLhBF
fdrw0_si653,KwBylwJwUcrIybBwmySyaBwLDaBwLz
fdrw0_sx113,sDCcJLAuTwBbnbLkcCwDLwULuOLktIrwTPLhbLA
fdrw0_sx203,lwLAagaUSsnwDLkwLkcLhIcLHByLbLlwKwcBc
fdrw0_sx23,kFUCyUwKwDLUMvaCwDgULCaDQlcBwJLBy
fdrw0_sx293,AHByJLMsLlwULkrmyLMsLhBLABaLMwlwLAByDwUJtrCy
fdrw0_sx383,lwLAaLHwLAByDwnKbCLHPmaIwnDFBIcLuk
fedw0_si1084,lnLhsysEDLCsLhyLhctaICsKwcDaQsKsLtaFBCLSyLiLcLhwKsLMJyQaBt
fedw0_si1653,vyJLHcFLuAJPlwDBy
fedw0_si1714,vATwrJLSrcBcLALScLDaCcBytJLMbnLHwD
fedw0_sx184,lsLAbLJLCBCyTeLaBSsUvryLMJLCgLTwrU
fedw0_sx274,ABwntLSBcJPQLhaLlkwBcLiKTwrIywnwJLCcJaLz
fedw0_sx364,yLzcDLMgCBywEDLAaBCBaJLAFwDJgmwLSwLNlcLhIsLkeDcQsLvymwELuUJwJLMwCLHFaIwLM
fedw0_sx4,zsCsnrwECFacCgDyLheSrLAwLDvaIwLkM
